state,x,y
Jammu & Kashmir,-111.0,227.0
Himachal Pradesh,-70.0,159.0
Punjab,-104.0,142.0
Haryana,-90.0,110.0
Uttarakhand,-52.0,135.0
Delhi,-77.0,101.0
Uttar Pradesh,-32.0,86.0
Bihar,51.0,56.0
Jharkhand,48.0,16.0
West Bengal,89.0,2.0
Rajasthan,-132.0,72.0
Gujarat,-169.0,-0.0
Madhya Pradesh,-66.0,10.0
Maharashtra,-110.0,-58.0
Telangana,-50.0,-83.0
Karnataka,-106.0,-142.0
Andhra Pradesh,-47.0,-131.0
Tamil Nadu,-64.0,-197.0
Kerala,-92.0,-212.0
Odisha,39.0,-43.0
Chhattisgarh,-6.0,-28.0
Sikkim,94.0,84.0
Assam,157.0,70.0
Meghalaya,125.0,53.0
Arunachal Pradesh,177.0,109.0
Nagaland,185.0,72.0
Manipur,178.0,40.0
Mizoram,165.0,20.0
Tripura,144.0,24.0
Goa,-133.0,-125.0
